number	kind	category	title	labels	updated_at	url
1022	issue	issue-feature-request	[Feature]: Display ONLY frontmatter tags	enhancement	2024-07-20T02:08:32Z	https://github.com/obsidian-community/obsidian-kanban/issues/1022
1021	issue	issue-data-integrity	[Feature]: Keyboard control scheme for navigation, deletion, duplication, finishing cards.	enhancement	2024-11-18T11:17:24Z	https://github.com/obsidian-community/obsidian-kanban/issues/1021
1020	issue	issue-feature-request	[Feature]: Issue tag color wildcard support	enhancement	2024-07-15T16:15:00Z	https://github.com/obsidian-community/obsidian-kanban/issues/1020
1019	issue	issue-feature-request	[Feature]: Add todo integration with Admonitions (Obsidian plugin)	enhancement	2024-07-15T10:16:27Z	https://github.com/obsidian-community/obsidian-kanban/issues/1019
1017	pull-request	pr-bugfix-review	Fixed behaviour for tags in titles and file properties		2025-04-02T06:42:47Z	https://github.com/obsidian-community/obsidian-kanban/pull/1017
1016	issue	issue-bug	[Bug]: Tag removed and used in the note title when creating new note from task	bug	2025-06-14T05:24:40Z	https://github.com/obsidian-community/obsidian-kanban/issues/1016
1015	issue	issue-feature-request	[Feature]: We need more customizable options.	enhancement	2024-07-09T00:09:32Z	https://github.com/obsidian-community/obsidian-kanban/issues/1015
1014	issue	issue-mobile-i18n	Duplicated menu item, on the latest version of the plugin (2.0.51) on Android.		2024-07-10T12:59:12Z	https://github.com/obsidian-community/obsidian-kanban/issues/1014
1013	issue	issue-bug	[Bug]: If you write something, the space is stretched.	bug	2024-07-12T16:46:14Z	https://github.com/obsidian-community/obsidian-kanban/issues/1013
1012	pull-request	pr-unclassified-review	Use standard icon size variables		2024-07-02T15:16:53Z	https://github.com/obsidian-community/obsidian-kanban/pull/1012
1011	issue	issue-data-integrity	[Feature]: Hotkeys for Archive + Delete card when hoovering cursor above (Trello style)	enhancement	2025-06-04T18:54:26Z	https://github.com/obsidian-community/obsidian-kanban/issues/1011
1008	pull-request	pr-bugfix-review	Fix bug in date display color overriding 'before' ranges		2024-06-27T21:00:26Z	https://github.com/obsidian-community/obsidian-kanban/pull/1008
1007	issue	issue-settings	[Feature]: Add a setting to disable Tasks plugin integration	enhancement	2024-06-27T16:21:12Z	https://github.com/obsidian-community/obsidian-kanban/issues/1007
1006	issue	issue-bug	[Bug]: Time trigger not recognized when time's minute is between 1 and 31	bug	2024-06-27T15:45:20Z	https://github.com/obsidian-community/obsidian-kanban/issues/1006
1005	issue	issue-mobile-i18n	[Bug]: Unable to move cards between lists on iPad.	bug	2024-06-27T14:11:29Z	https://github.com/obsidian-community/obsidian-kanban/issues/1005
1004	issue	issue-bug	[Bug]: kanban:card-updated and other events no longer fire	bug	2024-06-27T13:36:59Z	https://github.com/obsidian-community/obsidian-kanban/issues/1004
1003	issue	issue-feature-request	[Feature]: Remote image url	enhancement	2024-06-24T06:17:18Z	https://github.com/obsidian-community/obsidian-kanban/issues/1003
1002	issue	issue-bug	[Bug]: 我的天...卡爆我了	bug	2024-11-07T18:04:32Z	https://github.com/obsidian-community/obsidian-kanban/issues/1002
1001	issue	issue-feature-request	[Feature]: Show tags only from current kanban	enhancement	2024-06-22T15:37:03Z	https://github.com/obsidian-community/obsidian-kanban/issues/1001
1000	issue	issue-bug	[Bug]: Multiple dates can be inserted with `@`, but only the first one can be edited	bug	2024-06-21T14:16:03Z	https://github.com/obsidian-community/obsidian-kanban/issues/1000
999	issue	issue-feature-request	[Feature]: Colored cards	enhancement	2025-07-16T15:14:22Z	https://github.com/obsidian-community/obsidian-kanban/issues/999
998	issue	issue-data-integrity	[Bug]: Pushing Enter wont close the card 	bug	2025-09-30T11:08:03Z	https://github.com/obsidian-community/obsidian-kanban/issues/998
996	issue	issue-bug	[Bug]: New notes from cards notes not created in folder set in "Note folder"	bug	2026-02-22T15:52:25Z	https://github.com/obsidian-community/obsidian-kanban/issues/996
995	issue	issue-mobile-i18n	[Feature]: Transferring control buttons on the mobile version (on version 1.5.3.)	enhancement	2024-06-19T17:27:04Z	https://github.com/obsidian-community/obsidian-kanban/issues/995
994	issue	issue-feature-request	[Feature]: One more hyrarchical drag and drop for subtasks	enhancement	2024-07-05T15:14:39Z	https://github.com/obsidian-community/obsidian-kanban/issues/994
993	issue	issue-feature-request	[Feature]:  More list options (auto tags, auto dates...)	enhancement	2025-03-18T16:48:17Z	https://github.com/obsidian-community/obsidian-kanban/issues/993
992	issue	issue-feature-request	[Feature]: auto create notes for cards	enhancement	2024-10-01T06:49:29Z	https://github.com/obsidian-community/obsidian-kanban/issues/992
